Roll-No.       Batch             Present		Absents				Total Classes
4159            14                0			   0			   	 0
4222            14                0			   0			   	 0
4241            14                0			   0			   	 0
4290            14                0			   0			   	 0
4401            14                0			   0			   	 0
5867            14                0			   0			   	 0
5868            14                0			   0			   	 0
4014            14                0			   0			   	 0
4019            15                0			   0			   	 0
4023            15                0			   0			   	 0
4028            15                0			   0			   	 0
4048            15                0			   0			   	 0
4050            15                0			   0			   	 0
4068            15                0			   0			   	 0
4083            15                0			   0			   	 0
4084            15                0			   0			   	 0
4091            15                0			   0			   	 0
4102            15                0			   0			   	 0
4137            15                0			   0			   	 0
6789            22                0			   0			   	 0
6848            22                1			   0			   	 1
